time_ps,time_ns,msd_nm2,sem_nm2
0,0,0,0
10,0.01,0.0368536291,0.00259797899
20,0.02,0.0628956543,0.00436755311
30,0.03,0.086604821,0.00595497825
40,0.04,0.109586883,0.0074403387
50,0.05,0.132180659,0.00884600603
60,0.06,0.154162711,0.0102683792
70,0.07,0.175536059,0.0116480769
80,0.08,0.196613365,0.0130301266
90,0.09,0.217370635,0.0144287034
100,0.1,0.237940093,0.0157442007
110,0.11,0.258121572,0.0171274965
120,0.12,0.278176564,0.0185303242
130,0.13,0.298174607,0.0199250105
140,0.14,0.317515515,0.0212849839
150,0.15,0.336541161,0.0226218465
160,0.16,0.355394093,0.023914342
170,0.17,0.374224362,0.0252171618
180,0.18,0.392853238,0.0264780398
190,0.19,0.411197538,0.0276721986
200,0.2,0.429338555,0.028853872
210,0.21,0.447577868,0.0300431913
220,0.22,0.46578244,0.0311981656
230,0.23,0.484155623,0.0323096716
240,0.24,0.50230748,0.0334405815
250,0.25,0.520408623,0.034591653
260,0.26,0.538276077,0.0357169891
270,0.27,0.555849323,0.036817504
280,0.28,0.573724563,0.0379368504
290,0.29,0.590970607,0.039024647
300,0.3,0.60833543,0.0401186843
310,0.31,0.625620915,0.0411710816
320,0.32,0.642821131,0.0421925965
330,0.33,0.659948419,0.0432004175
340,0.34,0.677032781,0.0441947649
350,0.35,0.694227025,0.0451751369
360,0.36,0.711623461,0.0461399826
370,0.37,0.728717927,0.0470862625
380,0.38,0.745712015,0.0479957374
390,0.39,0.762367455,0.0489290097
400,0.4,0.778763504,0.0498342736
410,0.41,0.795226742,0.050696268
420,0.42,0.811466541,0.051487089
430,0.43,0.827577495,0.0522752047
440,0.44,0.843649723,0.0531019784
450,0.45,0.859534504,0.0538805293
460,0.46,0.875427027,0.0546650801
470,0.47,0.891176173,0.0554481636
480,0.48,0.907078232,0.0562399447
490,0.49,0.922794873,0.057074641
500,0.5,0.93856514,0.0578735624
510,0.51,0.954088154,0.0586308723
520,0.52,0.969575783,0.0593988175
530,0.53,0.984802664,0.0601919203
540,0.54,1.00002293,0.0609766052
550,0.55,1.01513633,0.0617653138
560,0.56,1.0300294,0.0625128827
570,0.57,1.04500781,0.063243463
580,0.58,1.06036834,0.0639592823
590,0.59,1.07552148,0.0647058602
600,0.6,1.09087283,0.0654423275
610,0.61,1.10604997,0.0661661669
620,0.62,1.12136899,0.0669284835
630,0.63,1.13646076,0.0676977785
640,0.64,1.15149803,0.0684767142
650,0.65,1.16660528,0.0692430536
660,0.66,1.18149679,0.0699771968
670,0.67,1.19649657,0.0707911754
680,0.68,1.2115108,0.0716284256
690,0.69,1.22656388,0.0724622258
700,0.7,1.24151065,0.073269601
710,0.71,1.25674048,0.0741143072
720,0.72,1.27182486,0.0749254319
730,0.73,1.28692567,0.0757562144
740,0.74,1.30201057,0.0765547864
750,0.75,1.31688024,0.0773289068
760,0.76,1.331541,0.0780934716
770,0.77,1.34636239,0.0789500802
780,0.78,1.36124198,0.0797859863
790,0.79,1.37622651,0.0805396339
800,0.8,1.39102609,0.0812475894
810,0.81,1.40554945,0.0819905961
820,0.82,1.42010088,0.0827346582
830,0.83,1.43466701,0.0834873412
840,0.84,1.44932126,0.084251464
850,0.85,1.46379616,0.0849998552
860,0.86,1.47835744,0.0857497097
870,0.87,1.49294743,0.0865336544
880,0.88,1.5075034,0.0873233825
890,0.89,1.52184818,0.0880830057
900,0.9,1.53628868,0.0888548353
910,0.91,1.55088174,0.0896621192
920,0.92,1.56529359,0.0905222615
930,0.93,1.57985369,0.0912757748
940,0.94,1.59429171,0.0920810934
950,0.95,1.60832731,0.092867572
960,0.96,1.6226696,0.0936709431
970,0.97,1.63716199,0.0945330609
980,0.98,1.65158187,0.0953372836
990,0.99,1.66595928,0.0961550774
1000,1,1.68002891,0.0969272791
1010,1.01,1.69391787,0.0977327766
1020,1.02,1.70819503,0.0985525928
1030,1.03,1.72227256,0.0994330186
1040,1.04,1.7363237,0.100287724
1050,1.05,1.75040885,0.101171664
1060,1.06,1.76442921,0.102029111
1070,1.07,1.77842225,0.102926943
1080,1.08,1.79233853,0.103785001
1090,1.09,1.80641477,0.104639855
1100,1.1,1.82041434,0.105553233
1110,1.11,1.83453235,0.106465523
1120,1.12,1.84872367,0.107349084
1130,1.13,1.86263066,0.108137044
1140,1.14,1.87673477,0.108978844
1150,1.15,1.89097228,0.109807345
1160,1.16,1.90509396,0.110631263
1170,1.17,1.91903353,0.111477449
1180,1.18,1.93316139,0.112297044
1190,1.19,1.9472131,0.113121914
1200,1.2,1.96119956,0.113917491
1210,1.21,1.97521717,0.114743228
1220,1.22,1.98900483,0.115561834
1230,1.23,2.00251366,0.116310414
1240,1.24,2.01612122,0.117031555
1250,1.25,2.02959807,0.117767348
1260,1.26,2.04292565,0.11852982
1270,1.27,2.05644198,0.119294491
1280,1.28,2.06994986,0.120017519
1290,1.29,2.08336493,0.120736204
1300,1.3,2.09655665,0.121472674
1310,1.31,2.10975667,0.122219175
1320,1.32,2.12283776,0.122960141
1330,1.33,2.13576181,0.123684458
1340,1.34,2.14833516,0.124368021
1350,1.35,2.16111194,0.125081413
1360,1.36,2.17389036,0.125786604
1370,1.37,2.18638507,0.126494385
1380,1.38,2.19907444,0.127213514
1390,1.39,2.21208587,0.127959244
1400,1.4,2.22499548,0.128644552
1410,1.41,2.23780013,0.129355783
1420,1.42,2.25046946,0.130042974
1430,1.43,2.26321559,0.130775077
1440,1.44,2.27599106,0.131474712
1450,1.45,2.28895966,0.132114229
1460,1.46,2.30202413,0.132733
1470,1.47,2.31509832,0.133399989
1480,1.48,2.32831027,0.134074133
1490,1.49,2.34170117,0.134683641
1500,1.5,2.35505653,0.135320713
1510,1.51,2.36862426,0.135961191
1520,1.52,2.38205809,0.136563576
1530,1.53,2.39530636,0.137208445
1540,1.54,2.40895963,0.137840618
1550,1.55,2.4225133,0.138419637
1560,1.56,2.43604765,0.139016719
1570,1.57,2.44970868,0.139646375
1580,1.58,2.46296405,0.140243538
1590,1.59,2.4762407,0.140802599
1600,1.6,2.48956631,0.141395074
1610,1.61,2.50266199,0.142031185
1620,1.62,2.51555152,0.142590365
1630,1.63,2.5285491,0.143167845
1640,1.64,2.54139069,0.143775163
1650,1.65,2.55411398,0.144323289
1660,1.66,2.56718163,0.144804901
1670,1.67,2.58025142,0.145367671
1680,1.68,2.5931128,0.145955286
1690,1.69,2.60621164,0.146511156
1700,1.7,2.6192544,0.147110836
1710,1.71,2.63224922,0.147674961
1720,1.72,2.64519846,0.148277886
1730,1.73,2.6585204,0.148939044
1740,1.74,2.67143724,0.149635127
1750,1.75,2.68464183,0.150332092
1760,1.76,2.69793318,0.151037192
1770,1.77,2.71148383,0.151747997
1780,1.78,2.7250995,0.152396693
1790,1.79,2.73879916,0.153049386
1800,1.8,2.75250478,0.153698226
1810,1.81,2.76606639,0.154343542
1820,1.82,2.77955308,0.154994408
1830,1.83,2.79337564,0.155632736
1840,1.84,2.80691473,0.156294294
1850,1.85,2.82047879,0.156960238
1860,1.86,2.83380074,0.157562104
1870,1.87,2.84730076,0.158136667
1880,1.88,2.86055372,0.15869345
1890,1.89,2.87390006,0.159290504
1900,1.9,2.88721072,0.159928292
1910,1.91,2.90060764,0.160571284
1920,1.92,2.91399366,0.161260337
1930,1.93,2.92734478,0.161950432
1940,1.94,2.940455,0.162609941
1950,1.95,2.95344889,0.163249883
1960,1.96,2.96625355,0.163858257
1970,1.97,2.97888438,0.164471707
1980,1.98,2.99166175,0.165066039
1990,1.99,3.00458125,0.165682716
2000,2,3.01757091,0.16625431
2010,2.01,3.03056808,0.166788809
2020,2.02,3.04368876,0.167318646
2030,2.03,3.05679761,0.167889279
2040,2.04,3.06957089,0.168430386
2050,2.05,3.08228266,0.168958978
2060,2.06,3.09493373,0.169463984
2070,2.07,3.10747005,0.170013275
2080,2.08,3.12027622,0.170557998
2090,2.09,3.13285949,0.171131712
2100,2.1,3.14552627,0.171677518
2110,2.11,3.15858032,0.172248118
2120,2.12,3.17107655,0.172834773
2130,2.13,3.18373601,0.173402431
2140,2.14,3.19629224,0.173971613
2150,2.15,3.20900261,0.174558561
2160,2.16,3.22160147,0.17514214
2170,2.17,3.2342041,0.175743235
2180,2.18,3.24668709,0.176313113
2190,2.19,3.25930108,0.176856835
2200,2.2,3.27170156,0.177406612
2210,2.21,3.28426553,0.177935499
2220,2.22,3.29692075,0.178493572
2230,2.23,3.30932757,0.179020147
