time_ps,time_ns,msd_nm2,sem_nm2
0,0,0,0
0.001,1e-06,0.0092626427,0.000478484685
0.002,2e-06,0.0207432433,0.00119713584
0.003,3e-06,0.0315300135,0.00180837367
0.004,4e-06,0.0419672261,0.00234130793
0.005,5e-06,0.0522227999,0.00284324877
0.006,6e-06,0.0623312464,0.00331763812
0.007,7e-06,0.0722926766,0.00376807397
0.008,8e-06,0.0821373288,0.00421344948
0.009,9e-06,0.0919064642,0.00465411037
0.01,1e-05,0.101603325,0.00508904781
0.011,1.1e-05,0.111280365,0.00551702044
0.012,1.2e-05,0.120918047,0.00593022522
0.013,1.3e-05,0.130521687,0.00634031691
0.014,1.4e-05,0.140097397,0.00675173624
0.015,1.5e-05,0.149613266,0.00716879862
0.016,1.6e-05,0.159088255,0.00758455348
0.017,1.7e-05,0.168474273,0.00799814866
0.018,1.8e-05,0.177773045,0.00840763269
0.019,1.9e-05,0.187006135,0.00882656852
0.02,2e-05,0.196157511,0.00923849461
0.021,2.1e-05,0.205222193,0.00965082545
0.022,2.2e-05,0.21425026,0.0100748082
0.023,2.3e-05,0.223309549,0.0105017591
0.024,2.4e-05,0.232406306,0.0109248582
0.025,2.5e-05,0.241526541,0.0113416989
0.026,2.6e-05,0.250674763,0.0117450744
0.027,2.7e-05,0.259854718,0.0121466515
0.028,2.8e-05,0.26905778,0.0125523974
0.029,2.9e-05,0.278270855,0.012961795
0.03,3e-05,0.287491058,0.0133647465
0.031,3.1e-05,0.296765619,0.0137730095
0.032,3.2e-05,0.306092512,0.0142064814
0.033,3.3e-05,0.315489876,0.0146497669
0.034,3.4e-05,0.32490979,0.0150995139
0.035,3.5e-05,0.33436653,0.0155565871
0.036,3.6e-05,0.34388503,0.0160199757
0.037,3.7e-05,0.353468019,0.016490222
0.038,3.8e-05,0.363064606,0.0169709587
0.039,3.9e-05,0.372645944,0.0174573561
0.04,4e-05,0.382190287,0.0179426573
0.041,4.1e-05,0.391662796,0.0184233463
0.042,4.2e-05,0.401125567,0.018896768
0.043,4.3e-05,0.410610556,0.0193644294
0.044,4.4e-05,0.420144951,0.019837201
0.045,4.5e-05,0.42975763,0.0203104769
0.046,4.6e-05,0.439364972,0.0207771386
0.047,4.7e-05,0.448941711,0.021241733
0.048,4.8e-05,0.458482042,0.0217198949
0.049,4.9e-05,0.468053247,0.0221978047
0.05,5e-05,0.477615008,0.0226696187
0.051,5.1e-05,0.487183977,0.0231400043
0.052,5.2e-05,0.496725436,0.0236116963
0.053,5.3e-05,0.506239051,0.0241032013
0.054,5.4e-05,0.515714605,0.0246032824
0.055,5.5e-05,0.525132513,0.0250953374
0.056,5.6e-05,0.534513148,0.0255798015
0.057,5.7e-05,0.543835996,0.0260635462
0.058,5.8e-05,0.553149798,0.0265409211
0.059,5.9e-05,0.562442085,0.0270096566
0.06,6e-05,0.571725553,0.0274881949
0.061,6.1e-05,0.581027134,0.027975112
0.062,6.2e-05,0.590359819,0.0284512622
0.063,6.3e-05,0.599670746,0.0289231447
0.064,6.4e-05,0.608989806,0.029392314
0.065,6.5e-05,0.618323066,0.029865328
0.066,6.6e-05,0.627689228,0.0303457647
0.067,6.7e-05,0.637113952,0.0308379332
0.068,6.8e-05,0.646580245,0.0313489304
0.069,6.9e-05,0.656063954,0.0318718286
0.07,7e-05,0.665529822,0.0323783202
0.071,7.1e-05,0.67498275,0.0328781336
0.072,7.2e-05,0.684435555,0.0333750081
0.073,7.3e-05,0.693913506,0.0338691818
0.074,7.4e-05,0.703413656,0.0343533314
0.075,7.5e-05,0.712915136,0.0348413469
0.076,7.6e-05,0.72243857,0.0353401793
0.077,7.7e-05,0.731965802,0.0358468515
0.078,7.8e-05,0.741500142,0.0363530871
0.079,7.9e-05,0.751035932,0.0368623553
0.08,8e-05,0.760521887,0.0373714191
0.081,8.1e-05,0.770009567,0.037869097
0.082,8.2e-05,0.779517635,0.0383580079
0.083,8.3e-05,0.789034391,0.0388366437
0.084,8.4e-05,0.798551234,0.0393101999
0.085,8.5e-05,0.808059593,0.0397866971
0.086,8.6e-05,0.817572242,0.0402694231
0.087,8.7e-05,0.827124293,0.0407634963
0.088,8.8e-05,0.836731813,0.0412653732
0.089,8.9e-05,0.846333984,0.0417643397
0.09,9e-05,0.855939961,0.0422705584
0.091,9.1e-05,0.865499234,0.0427898656
0.092,9.2e-05,0.875117194,0.0433099233
0.093,9.3e-05,0.884757809,0.043822857
0.094,9.4e-05,0.894380392,0.0443230811
0.095,9.5e-05,0.903981791,0.0448220288
0.096,9.6e-05,0.913552363,0.0453178991
0.097,9.7e-05,0.923104712,0.0458246885
0.098,9.8e-05,0.932657319,0.0463429687
0.099,9.9e-05,0.942239579,0.0468640699
0.1,0.0001,0.951824924,0.047380276
0.101,0.000101,0.961391712,0.0478994375
0.102,0.000102,0.970930017,0.048424979
0.103,0.000103,0.980495671,0.048954032
0.104,0.000104,0.990070388,0.0494860564
0.105,0.000105,0.99966385,0.0500309498
0.106,0.000106,1.00924151,0.050574497
0.107,0.000107,1.01879228,0.0511099785
0.108,0.000108,1.02829569,0.0516523929
0.109,0.000109,1.03772085,0.0522051006
0.11,0.00011,1.04708848,0.0527492571
0.111,0.000111,1.05641307,0.0532931044
0.112,0.000112,1.0657871,0.0538396185
0.113,0.000113,1.07518926,0.0543760891
0.114,0.000114,1.08454056,0.0549030557
0.115,0.000115,1.0938904,0.0554240912
