n,cos_avg,fit_exp_decay,fit_used
1,0.935370085,0.902869214,1
2,0.830989954,0.815172818,1
3,0.742611864,0.735994442,1
4,0.666664978,0.664506723,1
5,0.60029596,0.599962663,1
6,0.54228917,0.541687818,1
7,0.491756232,0.489073255,1
8,0.44600281,0.441569185,1
9,0.404084191,0.398679224,1
10,0.368374578,0.359955197,1
11,0.334182613,0.324992466,1
12,0.30074589,0.293425693,1
13,0.267574251,0.264925025,1
14,0.232930901,0.239192649,1
15,0.203582385,0.215959679,1
16,0.176689637,0.194983346,1
17,0.158555695,0.17604446,1
18,0.141378256,0.158945123,1
