n,cos_avg,fit_exp_decay,fit_used
1,0.950078735,0.903490726,1
2,0.873593929,0.816295491,1
3,0.791563181,0.737515406,1
4,0.715883065,0.666338329,1
5,0.644331602,0.602030501,1
6,0.578900926,0.543928974,1
7,0.517107017,0.491434783,1
8,0.454503433,0.444006769,1
9,0.398635426,0.401155998,1
10,0.347290169,0.362440724,1
11,0.30371859,0.327461833,1
12,0.264440061,0.295858729,1
13,0.240103192,0.267305618,1
14,0.215627089,0.241508146,1
15,0.194356366,0.21820037,1
16,0.172740907,0.197142011,1
17,0.156718828,0.178115979,1
18,0.129365878,0.160926135,1
