n,cos_avg,fit_exp_decay,fit_used
1,0.928643194,0.957909843,1
2,0.911899122,0.917591266,1
3,0.852486245,0.878969706,1
4,0.834158743,0.841973732,1
5,0.783924445,0.806534925,1
6,0.764980618,0.772587743,1
7,0.722936012,0.740069403,1
8,0.704245033,0.708919766,1
9,0.669116737,0.679081221,1
10,0.650804588,0.650498586,1
11,0.620322843,0.623118998,1
12,0.601731127,0.596891821,1
13,0.574049466,0.57176855,1
14,0.556419924,0.547702722,1
15,0.5308621,0.524649828,1
16,0.514515192,0.502567234,1
17,0.488929095,0.4814141,1
18,0.476752518,0.461151305,1
